name,status,N,H,stale,n_reliable,coverage,blended_acc,n_scored,qualified,score_start,score_end
VIX/Dollar,ok,8,3,1.0,4,0.5097037793667007,0.6993987975951904,979,True,2007-10-14,2026-08-07
VIX/SP,ok,17,2,1.0,3,0.22142857142857142,0.695852534562212,980,False,2007-10-14,2026-08-07
Gold/Dollar,ok,26,13,1.0,2,0.31778814123917387,0.779874213836478,1501,True,1997-08-02,2026-08-07
