t,date,rd
4384,2012-01-06,1
4385,2012-01-13,1
4386,2012-01-20,1
4387,2012-01-27,1
4388,2012-02-03,1
4389,2012-02-10,1
4390,2012-02-17,1
4391,2012-02-24,1
4392,2012-03-02,1
4393,2012-03-09,1
4394,2012-03-16,1
4395,2012-03-23,1
4396,2012-03-30,1
4397,2012-04-06,1
4398,2012-04-13,1
4399,2012-04-20,1
4400,2012-04-27,1
4401,2012-05-04,1
4402,2012-05-11,1
4403,2012-05-18,1
4404,2012-05-25,1
4405,2012-06-01,1
4406,2012-06-08,1
4407,2012-06-15,1
4408,2012-06-22,1
4409,2012-06-29,1
4410,2012-07-06,1
4411,2012-07-13,1
4412,2012-07-20,1
4413,2012-07-27,-1
4414,2012-08-03,1
4415,2012-08-10,1
4416,2012-08-17,1
4417,2012-08-24,1
4418,2012-08-31,1
4419,2012-09-07,1
4420,2012-09-14,1
4421,2012-09-21,1
4422,2012-09-28,-1
4423,2012-10-05,1
4424,2012-10-12,1
4425,2012-10-19,1
4426,2012-10-26,1
4427,2012-11-02,1
4428,2012-11-09,1
4429,2012-11-16,1
4430,2012-11-23,1
4431,2012-11-30,1
4432,2012-12-07,1
4433,2012-12-14,1
4434,2012-12-21,1
4435,2012-12-28,-1
4436,2013-01-04,-1
4437,2013-01-11,-1
4438,2013-01-18,-1
4439,2013-01-25,1
4440,2013-02-01,1
4441,2013-02-08,1
4442,2013-02-15,1
4443,2013-02-22,1
4444,2013-03-01,1
4445,2013-03-08,1
4446,2013-03-15,-1
4447,2013-03-22,-1
4448,2013-03-29,-1
4449,2013-04-05,1
4450,2013-04-12,-1
4451,2013-04-19,-1
4452,2013-04-26,-1
4453,2013-05-03,-1
4454,2013-05-10,-1
4455,2013-05-17,1
4456,2013-05-24,1
4457,2013-05-31,1
4458,2013-06-07,1
4459,2013-06-14,1
4460,2013-06-21,1
4461,2013-06-28,1
4462,2013-07-05,1
4463,2013-07-12,1
4464,2013-07-19,1
4465,2013-07-26,1
4466,2013-08-02,1
4467,2013-08-09,1
4468,2013-08-16,1
4469,2013-08-23,1
4470,2013-08-30,1
4471,2013-09-06,1
4472,2013-09-13,1
4473,2013-09-20,1
4474,2013-09-27,1
4475,2013-10-04,1
4476,2013-10-11,1
4477,2013-10-18,1
4478,2013-10-25,1
4479,2013-11-01,1
4480,2013-11-08,1
4481,2013-11-15,1
4482,2013-11-22,1
4483,2013-11-29,1
4484,2013-12-06,1
4485,2013-12-13,1
4486,2013-12-20,1
4487,2013-12-27,1
4488,2014-01-03,1
4489,2014-01-10,1
4490,2014-01-17,1
4491,2014-01-24,1
4492,2014-01-31,1
4493,2014-02-07,1
4494,2014-02-14,1
4495,2014-02-21,1
4496,2014-02-28,1
4497,2014-03-07,1
4498,2014-03-14,1
4499,2014-03-21,1
4500,2014-03-28,1
4501,2014-04-04,1
4502,2014-04-11,1
4503,2014-04-18,1
4504,2014-04-25,1
4505,2014-05-02,1
4506,2014-05-09,1
4507,2014-05-16,1
4508,2014-05-23,1
4509,2014-05-30,1
4510,2014-06-06,1
4511,2014-06-13,1
4512,2014-06-20,1
4513,2014-06-27,1
4514,2014-07-04,1
4515,2014-07-11,1
4516,2014-07-18,1
4517,2014-07-25,1
4518,2014-08-01,1
4519,2014-08-08,1
4520,2014-08-15,1
4521,2014-08-22,1
4522,2014-08-29,1
4523,2014-09-05,1
4524,2014-09-12,1
4525,2014-09-19,1
4526,2014-09-26,1
4527,2014-10-03,1
4528,2014-10-10,1
4529,2014-10-17,1
4530,2014-10-24,1
4531,2014-10-31,1
4532,2014-11-07,1
4533,2014-11-14,1
4534,2014-11-21,1
4535,2014-11-28,1
4536,2014-12-05,1
4537,2014-12-12,1
4538,2014-12-19,1
4539,2014-12-26,1
4540,2015-01-02,1
4541,2015-01-09,1
4542,2015-01-16,1
4543,2015-01-23,1
4544,2015-01-30,1
4545,2015-02-06,1
4546,2015-02-13,1
4547,2015-02-20,1
4548,2015-02-27,1
4549,2015-03-06,1
4550,2015-03-13,1
4551,2015-03-20,1
4552,2015-03-27,1
4553,2015-04-03,1
4554,2015-04-10,1
4555,2015-04-17,1
4556,2015-04-24,1
4557,2015-05-01,1
4558,2015-05-08,1
4559,2015-05-15,1
4560,2015-05-22,1
4561,2015-05-29,1
4562,2015-06-05,1
4563,2015-06-12,1
4564,2015-06-19,1
4565,2015-06-26,1
4566,2015-07-03,1
4567,2015-07-10,1
4568,2015-07-17,1
4569,2015-07-24,1
4570,2015-07-31,1
4571,2015-08-07,1
4572,2015-08-14,1
4573,2015-08-21,1
4574,2015-08-28,1
4575,2015-09-04,1
4576,2015-09-11,1
4577,2015-09-18,1
4578,2015-09-25,1
4579,2015-10-02,1
4580,2015-10-09,1
4581,2015-10-16,1
4582,2015-10-23,1
4583,2015-10-30,1
4584,2015-11-06,1
4585,2015-11-13,1
4586,2015-11-20,1
4587,2015-11-27,1
4588,2015-12-04,1
4589,2015-12-11,1
4590,2015-12-18,1
4591,2015-12-25,1
4592,2016-01-01,1
4593,2016-01-08,1
4594,2016-01-15,1
4595,2016-01-22,1
4596,2016-01-29,1
4597,2016-02-05,1
4598,2016-02-12,1
4599,2016-02-19,1
4600,2016-02-26,1
4601,2016-03-04,1
4602,2016-03-11,1
4603,2016-03-18,1
4604,2016-03-25,1
4605,2016-04-01,1
4606,2016-04-08,1
4607,2016-04-15,1
4608,2016-04-22,1
4609,2016-04-29,1
4610,2016-05-06,1
4611,2016-05-13,1
4612,2016-05-20,1
4613,2016-05-27,1
4614,2016-06-03,1
4615,2016-06-10,1
4616,2016-06-17,1
4617,2016-06-24,1
4618,2016-07-01,1
4619,2016-07-08,1
4620,2016-07-15,1
4621,2016-07-22,1
4622,2016-07-29,1
4623,2016-08-05,1
4624,2016-08-12,1
4625,2016-08-19,1
4626,2016-08-26,-1
4627,2016-09-02,1
4628,2016-09-09,1
4629,2016-09-16,1
4630,2016-09-23,1
4631,2016-09-30,1
4632,2016-10-07,1
4633,2016-10-14,1
4634,2016-10-21,1
4635,2016-10-28,1
4636,2016-11-04,1
4637,2016-11-11,1
4638,2016-11-18,1
4639,2016-11-25,1
4640,2016-12-02,1
4641,2016-12-09,1
4642,2016-12-16,1
4643,2016-12-23,1
4644,2016-12-30,1
4645,2017-01-06,1
4646,2017-01-13,1
4647,2017-01-20,1
4648,2017-01-27,1
4649,2017-02-03,1
4650,2017-02-10,1
4651,2017-02-17,1
4652,2017-02-24,1
4653,2017-03-03,1
4654,2017-03-10,-1
4655,2017-03-17,-1
4656,2017-03-24,-1
4657,2017-03-31,-1
4658,2017-04-07,1
4659,2017-04-14,1
4660,2017-04-21,1
4661,2017-04-28,1
4662,2017-05-05,1
4663,2017-05-12,1
4664,2017-05-19,1
4665,2017-05-26,1
4666,2017-06-02,1
4667,2017-06-09,1
4668,2017-06-16,1
4669,2017-06-23,1
4670,2017-06-30,1
4671,2017-07-07,1
4672,2017-07-14,1
4673,2017-07-21,1
4674,2017-07-28,1
4675,2017-08-04,1
4676,2017-08-11,1
4677,2017-08-18,1
4678,2017-08-25,1
4679,2017-09-01,1
4680,2017-09-08,1
4681,2017-09-15,1
4682,2017-09-22,1
4683,2017-09-29,1
4684,2017-10-06,1
4685,2017-10-13,1
4686,2017-10-20,1
4687,2017-10-27,1
4688,2017-11-03,1
4689,2017-11-10,1
4690,2017-11-17,1
4691,2017-11-24,1
