trade_week,live_SP,live_GOLD,live_SILVER,live_PT,live_NG,live_gross,zion_US_EQ,zion_NASDAQ,zion_GOLD,zion_SILVER,zion_WTI,zion_UST2Y,zion_gross,zion_realized_ret,zion_status,zion_ret,live_ret,resolved
2026-08-14,0.0,0.1819,0.31875,-0.0632,0.0,0.5638500000000001,0.1887,0.0,0.0458,0.0,0.0,0.122,0.3565,0.000191,RESOLVED,0.000191,0.0,2026-08-17
2026-08-21,0.0,0.0,0.0,0.0,0.0,0.0,0.1846,0.2914,0.0446,0.0,0.0,0.119,0.6396,,ISSUED,,,
