month,uni_1x,uni_254,uni_400,spy_bh,eq_uni_1x,eq_uni_254,eq_uni_400,eq_spy_bh
2007-08,0.004300441391196417,0.0109231211336389,0.017201765564785667,0.010308810833722815,1.0043004413911965,1.010923121133639,1.0172017655647856,1.0103088108337228
2007-09,0.0301332137687214,0.07653836297255236,0.1205328550748856,0.03579400817860079,1.0345632412796586,1.088297521916311,1.1398079985555236,1.0464718126716175
2007-10,0.007161433429068407,0.018190040909833755,0.028645733716273627,0.005587050464630705,1.041972197060244,1.1080936983620393,1.1724586349698238,1.0523185034988274
2007-11,0.0018334803680612759,0.0046570401348756405,0.0073339214722451035,-0.03526393466684541,1.0438826326276196,1.113254135188514,1.1810573545281484,1.0152096125427321
2007-12,0.012034267601937187,0.030567039708920454,0.04813707040774875,-0.0017891788675302722,1.056444995573675,1.147283018544941,1.2379099955586594,1.013393220957857
2008-01,0.011992693496586066,0.030461441481328608,0.047970773986344264,-0.10002097130151699,1.0691146166015923,1.1822309130768698,1.2972934961710403,0.9120326466872795
2008-02,0.012548152119360258,0.03187230638317506,0.05019260847744103,1.5045378789046993e-05,1.0825300294437405,1.2199113389541165,1.3624080407046841,0.9120463685639169
2008-03,-0.01174383758042521,-0.029829347454280033,-0.04697535032170084,-0.011581006082186374,1.0698169726020204,1.1835221797610382,1.2984084457114795,0.9014839540223422
2008-04,-0.007491191831785338,-0.01902762725273476,-0.029964767327141352,0.06281838548499108,1.0618027684353588,1.161002560879201,1.2595019387401398,0.9581137205546516
2008-05,0.018107344860870317,0.0459926559466106,0.07242937944348127,0.0018171172127057211,1.0810291973376447,1.214400152214852,1.3507268825709495,0.959854725488001
2008-06,0.018290379185050457,0.04645756313002816,0.07316151674020183,-0.08711921019624191,1.1008016312670608,1.2708182239514891,1.4495481100016046,0.8762329399003558
2008-07,-0.01477386147667081,-0.03752560815074386,-0.05909544590668324,-0.016129785383398376,1.084538540453428,1.2231299972486613,1.3638864180778698,0.8620994906338988
2008-08,-0.0036060716500398438,-0.009159421991101204,-0.014424286600159375,0.019932217668245045,1.0806276167693232,1.2119268334538864,1.3442133294934497,0.8792830453328968
2008-09,0.0039868945293952684,0.010126712104663982,0.015947578117581074,-0.05422381680060495,1.0849359651029342,1.224199667588191,1.3656502765722403,0.8316049625668878
2008-10,-0.02508464353839219,-0.06371499458751616,-0.10033857415356875,-0.2015380052213941,1.0577207331563456,1.1461997923937703,1.2286228750285548,0.6640049572789452
2008-11,0.007334437851805098,0.01862947214358495,0.02933775140722039,-0.0748490423387097,1.0654785201382466,1.167552889497153,1.264667907509367,0.6143048221184603
2008-12,0.026166131258571135,0.06646197339677068,0.10466452503428454,-0.026153711837023086,1.093357970949372,1.2451507585782353,1.3970337733749374,0.5982384708206804
2009-01,0.011197008076793802,0.028440400515056256,0.04478803230717521,-0.05375800133636788,1.105600308980919,1.2805633448538265,1.4596041671510689,0.5660783663068356
2009-02,0.0059681588158296845,0.015159123392207399,0.023872635263318738,-0.10993119762019943,1.1121987072117476,1.2999755626100036,1.4944487650622864,0.5038486935518393
2009-03,-0.0011835617536510162,-0.0030062468542735813,-0.004734247014604065,0.1099864950308107,1.1108823513594317,1.2960675151642749,1.4873736754578115,0.559265245381459
2009-04,-0.004227914897583972,-0.010738903839863288,-0.016911659590335887,0.06163440679078014,1.106185635316656,1.2821491707489552,1.4622197181748422,0.5937352270192454
2009-05,0.003420643605387075,0.00868843475768317,0.0136825744215483,0.061080816148912254,1.1099695021364728,1.2932890401686252,1.4822266482894249,0.6300010592619406
2009-06,-0.00204528137928367,-0.005195014703380522,-0.00818112551713468,-0.00026110302081350234,1.1076993021821804,1.2865703845892282,1.4701003660349272,0.6298365640822516
2009-07,0.0006965359011216199,0.0017692011888489146,0.0027861436044864796,0.07463266321972051,1.1084708545137978,1.2888465864431813,1.4741962767677086,0.6768429442528683
2009-08,-0.0011483936262924757,-0.0029169198107828883,-0.004593574505169903,0.041975608682731425,1.1071978936495432,1.2850871243021253,1.467424446335132,0.7052538388204945
2009-09,0.008625926181875548,0.021909852501963895,0.034503704727502194,0.015015550489708485,1.1167485009488922,1.3132431936477578,1.5180560261413976,0.7158436134453644
2009-10,0.009825978760181979,0.024957986050862226,0.039303915040727916,-0.00784203397065375,1.127721647999681,1.3460190989562082,1.5777215712199242,0.7102299435110503
2009-11,-0.005658599246235371,-0.014372842085437843,-0.022634396984941484,0.05336864084308268,1.1213403231323467,1.3266729790029272,1.5420107948452266,0.7481339502822945
2009-12,0.0050378971323322246,0.01279625871612385,0.020151588529328898,0.03205708760266468,1.1269895203306235,1.3436494296739394,1.5730847618907309,0.7721169458650216
2010-01,-0.0041139755349774145,-0.010449497858842633,-0.016455902139909658,-0.04670299185403226,1.1223531130158073,1.3296089678355265,1.547198232991274,0.7360567744319272
2010-02,0.0005158274156381851,0.0013102016357209902,0.0020633096625527403,0.028513689046546054,1.122932053521528,1.3313510236800539,1.5503905820552892,0.7570444684186829
