month,weekly_actual,weekly_deconc,monthly_leg,universe_actual,universe_deconc
2007-08,0.0072491094101085896,0.0072491094101085896,0.0021200544896484,0.004684581949878495,0.004684581949878495
2007-09,0.016704473570021028,0.016704473570021028,0.0425408511285331,0.029622662349277063,0.029622662349277063
2007-10,0.013337045539562276,0.013337045539562276,0.0078811328225397,0.010609089181050989,0.010609089181050989
2007-11,0.002898207095732408,0.002898207095732408,-0.000607063203999,0.001145571945866704,0.001145571945866704
2007-12,0.011241637436590013,0.011241637436590013,0.0174299158368308,0.014335776636710406,0.014335776636710406
2008-01,0.00717167357763393,0.00717167357763393,0.0120653470728194,0.009618510325226665,0.009618510325226665
2008-02,0.0019705582770941366,0.0019705582770941366,0.0160228869406865,0.008996722608890319,0.008996722608890319
2008-03,-0.012987870344597252,-0.012987870344597252,-0.0200916914082399,-0.016539780876418574,-0.016539780876418574
2008-04,-0.002376546035658844,-0.002376546035658844,-0.0077018912809667,-0.005039218658312772,-0.005039218658312772
2008-05,0.019572211553400942,0.019572211553400942,0.0364303834614928,0.02800129750744687,0.02800129750744687
2008-06,0.008011414975032327,0.008011414975032327,0.0317892580480538,0.019900336511543062,0.019900336511543062
2008-07,-0.012621293647475995,-0.012621293647475995,-0.0296241858320132,-0.021122739739744597,-0.021122739739744597
2008-08,0.00789723252124519,0.00789723252124519,0.0,0.003948616260622595,0.003948616260622595
2008-09,0.0024282547878768934,0.0024282547878768934,0.0,0.0012141273939384467,0.0012141273939384467
2008-10,-0.008559950984354914,-0.008559950984354914,-0.03526739767013,-0.021913674327242456,-0.021913674327242456
2008-11,0.0005293159306560824,0.0005293159306560824,0.0,0.0002646579653280412,0.0002646579653280412
2008-12,0.020681762979942953,0.020681762979942953,0.0452406349695935,0.03296119897476822,0.03296119897476822
2009-01,0.020397044119222274,0.020397044119222274,0.0164849486654548,0.018440996392338538,0.018440996392338538
2009-02,0.006928037777718776,0.006928037777718776,0.0103142683511992,0.008621153064458988,0.008621153064458988
2009-03,-0.01023051467193381,-0.01023051467193381,-0.0013026825579254,-0.005766598614929605,-0.005766598614929605
2009-04,0.0012685864596650998,0.0012685864596650998,-0.0074816907773773,-0.0031065521588561,-0.0031065521588561
2009-05,0.003006674937124032,0.003006674937124032,0.0,0.001503337468562016,0.001503337468562016
2009-06,-0.003701878057931096,-0.003701878057931096,0.0,-0.001850939028965548,-0.001850939028965548
2009-07,-0.002118911632531306,-0.002118911632531306,0.0,-0.001059455816265653,-0.001059455816265653
2009-08,0.002366717987728917,0.002685067465017399,-0.0033634259361752,-0.0004983539742231416,-0.00033917923557890057
2009-09,0.002408628194568996,0.0026748732529668917,0.0138100164438289,0.008109322319198947,0.008242444848397895
2009-10,0.016231015007848626,0.016187129208206086,0.0146087121199394,0.015419863563894014,0.015397920664072744
2009-11,-0.0012324922952913209,-0.0011476872813386274,-0.0235619571393824,-0.01239722471733686,-0.012354822210360513
2009-12,0.009201655385471463,0.010683918690925331,0.0159544180895377,0.012578036737504582,0.013319168390231517
2010-01,-0.002366012808607376,-0.0032187678965728272,-0.0061268445504547,-0.004246428679531038,-0.004672806223513764
2010-02,0.022194247715123794,0.022194247715123794,-0.0024500147062731,0.009872116504425347,0.009872116504425347
