Date,locked,b2
2007-08-03,0.0019719930069930125,0.0019719930069930125
2007-08-10,-0.00011143144430717609,-0.00011143144430717609
2007-08-17,-0.00023655535780345033,-0.00023655535780345033
2007-08-24,0.00097669796293378,0.00097669796293378
2007-08-31,0.0012909926301243586,0.0012909926301243586
2007-09-07,0.004198066990301119,0.004198066990301119
2007-09-14,0.000527548762688449,0.000527548762688449
2007-09-21,0.002422274080599036,0.002422274080599036
2007-09-28,0.0016636794896423153,0.0016636794896423153
2007-10-05,-0.00041253088356265656,-0.00041253088356265656
2007-10-12,0.00034137953309894205,0.00034137953309894205
2007-10-19,0.0033128092031239013,0.0033128092031239013
2007-10-26,0.002212536428082058,0.002212536428082058
2007-11-02,0.002644493217950839,0.002644493217950839
2007-11-09,0.0035382623712064245,0.0035382623712064245
2007-11-16,-0.0037461381934067455,-0.0037461381934067455
2007-11-23,0.004762051264230113,0.004762051264230113
2007-11-30,-0.003573687462485486,-0.003573687462485486
2007-12-07,0.0009857787026947232,0.0009857787026947232
2007-12-14,-0.0006985477256763214,-0.0006985477256763214
2007-12-21,0.0023088058909422897,0.0023088058909422897
2007-12-28,0.002973481595824214,0.002973481595824214
2008-01-04,0.0036485985878123694,0.0036485985878123694
2008-01-11,0.0035371858515474263,0.0035371858515474263
2008-01-18,-0.000315778828304577,-0.000315778828304577
2008-01-25,0.003108721258923566,0.003108721258923566
2008-02-01,0.00046411543968702244,0.00046411543968702244
2008-02-08,0.0014828260215191576,0.0014828260215191576
2008-02-15,-0.001124496122121592,-0.001124496122121592
2008-02-22,0.0032909933161864163,0.0032909933161864163
2008-02-29,0.0034927523470400504,0.0034927523470400504
2008-03-07,0.0005225642350831216,0.0005225642350831216
2008-03-14,0.002290298568014102,0.002290298568014102
2008-03-21,-0.0058490943520177275,-0.0058490943520177275
2008-03-28,0.0002013599796511302,0.0002013599796511302
2008-04-04,-0.0022784258417887907,-0.0022784258417887907
2008-04-11,0.0015383107553769157,0.0015383107553769157
2008-04-18,-0.002475491703721392,-0.002475491703721392
2008-04-25,-0.002911624110250325,-0.002911624110250325
2008-05-02,-0.002648060769261727,-0.002648060769261727
2008-05-09,0.003410567770962113,0.003410567770962113
2008-05-16,0.0004885081967213121,0.0004885081967213121
2008-05-23,0.0023517457171463186,0.0023517457171463186
2008-05-30,-0.0037610837945538564,-0.0037610837945538564
2008-06-06,0.0017649721292960236,0.0017649721292960236
2008-06-13,-0.004455107647488519,-0.004455107647488519
2008-06-20,0.0034282618570026986,0.0034282618570026986
2008-06-27,0.00330589093273356,0.00330589093273356
2008-07-04,0.0003036878487545077,0.0003036878487545077
2008-07-11,0.002557172095007751,0.002557172095007751
2008-07-18,-0.00033565782674113383,-0.00033565782674113383
2008-07-25,-0.0024533569641813535,-0.0024533569641813535
2008-08-01,-0.0006060225180909726,-0.0006060225180909726
2008-08-08,-0.004127884987886557,-0.004127884987886557
2008-08-15,-0.005767378436282382,-0.005767378436282382
2008-08-22,0.003967460932052355,0.003967460932052355
2008-08-29,0.0004909921570603855,0.0004909921570603855
2008-09-05,-0.0022871075936892254,-0.0022871075936892254
2008-09-12,-0.003421626920312068,-0.003421626920312068
2008-09-19,0.010243196619578935,0.010243196619578935
2008-09-26,0.0022145697299047733,0.0022145697299047733
2008-10-03,-0.0025876173749196764,-0.0025876173749196764
2008-10-10,0.002384063683936406,0.002384063683936406
2008-10-17,-0.006176710207652896,-0.006176710207652896
2008-10-24,-0.005023252539890354,-0.005023252539890354
2008-10-31,-0.0011672573245957005,-0.0011672573245957005
2008-11-07,0.0026411162512898585,0.0026411162512898585
2008-11-14,0.0014060045063277828,0.0014060045063277828
2008-11-21,0.005516390429939264,0.005516390429939264
2008-11-28,0.002701416409837102,0.002701416409837102
2008-12-05,-0.005735355054739194,-0.005735355054739194
2008-12-12,0.007435445477754415,0.007435445477754415
2008-12-19,0.0017832212904094296,0.0017832212904094296
2008-12-26,0.0025130111680434085,0.0025130111680434085
2009-01-02,0.0007956481250628627,0.0007956481250628627
2009-01-09,-0.001568073310791893,-0.001568073310791893
2009-01-16,-0.0012127907066492197,-0.0012127907066492197
2009-01-23,0.0046560932914900596,0.0046560932914900596
2009-01-30,0.0022988195813520695,0.0022988195813520695
2009-02-06,-0.0012357117824636885,-0.0012357117824636885
2009-02-13,0.002378323682730129,0.002378323682730129
2009-02-20,0.004878427149650276,0.004878427149650276
2009-02-27,-0.004627911729236358,-0.004627911729236358
2009-03-06,0.0004247941252738311,0.0004247941252738311
2009-03-13,-0.0012075021603883329,-0.0012075021603883329
2009-03-20,0.0024734560064870476,0.0024734560064870476
2009-03-27,-0.002577143891269334,-0.002577143891269334
2009-04-03,-0.0024175144431795065,-0.0024175144431795065
2009-04-10,-0.0010852266336778623,-0.0010852266336778623
2009-04-17,-0.0013341401128713465,-0.0013341401128713465
2009-04-24,0.004032769383722483,0.004032769383722483
2009-05-01,-0.0018330287516356396,-0.0018330287516356396
2009-05-08,0.001998999300286619,0.001998999300286619
2009-05-15,0.00184319257440533,0.00184319257440533
2009-05-22,0.002107037117970203,0.002107037117970203
2009-05-29,0.0016238030655386707,0.0016238030655386707
2009-06-05,-0.0027795068061534194,-0.0027795068061534194
2009-06-12,-0.0015585198357274048,-0.0015585198357274048
2009-06-19,-0.00012092744748446,-0.00012092744748446
2009-06-26,0.0010211391978263561,0.0010211391978263561
2009-07-03,-0.0007549709196489305,-0.0007549709196489305
2009-07-10,-0.0007338133467299854,-0.0007338133467299854
2009-07-17,0.0016767010333272564,0.0016767010333272564
2009-07-24,0.0011747821332101377,0.0011747821332101377
2009-07-31,-0.00018969271015359287,-0.00018969271015359287
2009-08-07,-0.0003881247972380834,-0.0003881247972380834
2009-08-14,0.00018419772547777962,0.00018419772547777962
2009-08-21,0.0003064867924502918,0.0003064867924502918
