Date,locked,lev,silver_micro
2007-08-03,0.0005515384615384602,1.2319207790574427,-0.0
2007-08-10,0.00013392307692307773,1.2319207790574427,-0.0
2007-08-17,0.001262769230769231,1.2319207790574427,0.0
2007-08-24,-0.000290615384615385,1.2319207790574427,0.0
2007-08-31,0.0007296153846153826,1.2319207790574427,0.0
2007-09-07,0.0011000000000000016,1.2319207790574427,-0.0
2007-09-14,-0.00041423076923076895,1.2319207790574427,0.0
2007-09-21,0.00011815384615384696,1.2319207790574427,0.0
2007-09-28,0.0004946923076923055,1.2319207790574427,-0.0
2007-10-05,-0.00026107692307692263,1.2319207790574427,0.0
2007-10-12,-0.00040730769230769363,1.2319207790574427,-0.0
2007-10-19,0.0017801538461538484,1.2319207790574427,0.0
2007-10-26,0.00025899999999999925,1.2319207790574427,0.0
2007-11-02,0.0005587692307692303,1.2319207790574427,0.0
2007-11-09,0.0010435384615384623,1.2319207790574427,-0.0
2007-11-16,0.00047007692307692256,1.2319207790574427,0.0
2007-11-23,0.0011060769230769238,1.2319207790574427,-0.0
2007-11-30,0.00023092307692307616,1.2319207790574427,0.0
2007-12-07,-0.00018400000000000024,1.2319207790574427,-0.0
2007-12-14,-0.0005946923076923076,1.2319207790574427,0.0
2007-12-21,0.0005786923076923081,1.2319207790574427,0.0
2007-12-28,0.0003859999999999994,1.2319207790574427,0.0
2008-01-04,0.001549384615384615,1.2319207790574427,0.0
2008-01-11,0.000669615384615386,1.2319207790574427,-0.0
2008-01-18,0.0009647692307692307,1.2319207790574427,0.0
2008-01-25,0.0005797692307692304,1.2319207790574427,0.0
2008-02-01,0.0006123846153846159,1.2319207790574427,0.0
2008-02-08,0.000682230769230769,1.2319207790574427,0.0
2008-02-15,0.00014946153846153852,1.2319207790574427,0.0
2008-02-22,-0.00018984615384615408,1.2319207790574427,0.0
2008-02-29,0.0013174615384615388,1.2319207790574427,0.0
2008-03-07,0.0005148461538461534,1.2319207790574427,0.0
2008-03-14,0.00028453846153846167,1.2319207790574427,-0.0
2008-03-21,5.653846153846154e-05,1.2319207790574427,0.0
2008-03-28,-0.0006957692307692307,1.2319207790574427,-0.0
2008-04-04,-0.0005376153846153851,1.2319207790574427,-0.0
2008-04-11,0.00033369230769230796,1.2319207790574427,0.0
2008-04-18,-0.0015497692307692304,1.2319207790574427,-0.0
2008-04-25,-0.0008561538461538461,1.2319207790574427,-0.0
2008-05-02,-1.900000000000092e-05,1.2319207790574427,0.0
2008-05-09,0.0009225384615384622,1.2319207790574427,0.0
2008-05-16,-0.0007410000000000007,1.2319207790574427,0.0
2008-05-23,0.0001326153846153855,1.2319207790574427,-0.0
2008-05-30,-0.0006576923076923083,1.2319207790574427,0.0
2008-06-06,0.0010803076923076931,1.2319207790574427,-0.0
2008-06-13,-0.0023526923076923074,1.2319207790574427,0.0
2008-06-20,0.0007567692307692306,1.2319207790574427,0.0
2008-06-27,0.0009759230769230769,1.2319207790574427,0.0
2008-07-04,0.00010192307692307692,1.2319207790574427,0.0
2008-07-11,0.0003276153846153848,1.2319207790574427,-0.0
2008-07-18,-0.00016369230769230873,1.2319207790574427,-0.0
2008-07-25,-4.8153846153846254e-05,1.2319207790574427,0.0
2008-08-01,0.000818538461538463,1.2319207790574427,-0.0
2008-08-08,9.653846153846153e-05,1.2319207790574427,-0.0
2008-08-15,0.0005103076923076919,1.2319207790574427,0.0
2008-08-22,1.707692307692302e-05,1.2319207790574427,0.0
2008-08-29,0.000318769230769231,1.2319207790574427,-0.0
2008-09-05,0.0005797692307692304,1.2319207790574427,-0.0
2008-09-12,8.576923076923078e-05,1.2319207790574427,0.0
2008-09-19,0.00034907692307692244,1.2319207790574427,0.0
2008-09-26,0.00027115384615384713,1.2319207790574427,-0.0
2008-10-03,0.0019995384615384606,1.2319207790574427,-0.0
2008-10-10,-1.3692307692307746e-05,1.2319207790574427,-0.0
2008-10-17,-1.292307692307615e-05,1.2319207790574427,-0.0
2008-10-24,0.0003263846153846148,1.2319207790574427,0.0
2008-10-31,9.800000000000005e-05,1.2319207790574427,0.0
2008-11-07,0.0009251538461538461,1.2319207790574427,-0.0
2008-11-14,0.0004649230769230773,1.2319207790574427,-0.0
2008-11-21,0.0005359230769230765,1.2319207790574427,0.0
2008-11-28,0.0003804615384615388,1.2319207790574427,-0.0
2008-12-05,0.0003017692307692306,1.2319207790574427,0.0
2008-12-12,0.0006000000000000002,1.2319207790574427,0.0
2008-12-19,0.0001804615384615386,1.2319207790574427,-0.0
2008-12-26,-0.0005357692307692309,1.2319207790574427,0.0
