month,weekly,monthly,universe
2007-08,0.0030175660009479355,0.0021200544896484,0.0025688102452981676
2007-09,0.010789394045938705,0.0425408511285331,0.0266651225872359
2007-10,0.006664966172057252,0.0078811328225397,0.007273049497298476
2007-11,0.004381221074916564,-0.000607063203999,0.0018870789354587818
2007-12,0.006807013514185112,0.0174299158368308,0.012118464675507956
2008-01,0.012223072969422377,0.0120653470728194,0.012144210021120889
2008-02,0.009303758145035035,0.0160228869406865,0.012663322542860768
2008-03,-0.003482565397709192,-0.0200916914082399,-0.011787128402974545
2008-04,-0.007464574159068871,-0.0077018912809667,-0.0075832327200177855
2008-05,-0.00022186450279304548,0.0364303834614928,0.018104259479349877
2008-06,0.0049122907764089785,0.0317892580480538,0.018350774412231388
2008-07,7.816464207155427e-05,-0.0296241858320132,-0.014773010594970822
2008-08,-0.007395323526094177,0.0,-0.0036976617630470887
2008-09,0.008174215395247986,0.0,0.004087107697623993
2008-10,-0.015277763704340641,-0.03526739767013,-0.02527258068723532
2008-11,0.015042254662372745,0.0,0.0075211273311863724
2008-12,0.007270060342079443,0.0452406349695935,0.02625534765583647
2009-01,0.006058576792768555,0.0164849486654548,0.011271762729111678
2009-02,0.0016621948453534596,0.0103142683511992,0.00598823159827633
2009-03,-0.0010916458584780964,-0.0013026825579254,-0.001197164208201748
2009-04,-0.0009992540036719566,-0.0074816907773773,-0.004240472390524629
2009-05,0.007014807650931543,0.0,0.0035074038254657713
2009-06,-0.00419413755056075,0.0,-0.002097068775280375
2009-07,0.0014282760143944362,0.0,0.0007141380071972181
2009-08,0.0010936474952889519,-0.0033634259361752,-0.001134889220443124
2009-09,0.003528908930642727,0.0138100164438289,0.008669462687235813
2009-10,0.005171078087395475,0.0146087121199394,0.009889895103667438
2009-11,0.012556218938585051,-0.0235619571393824,-0.005502869100398674
2009-12,-0.006027240100677789,0.0159544180895377,0.0049635889944299565
2010-01,-0.0014339964249860948,-0.0061268445504547,-0.0037804204877203975
2010-02,0.0032678453828560716,-0.0024500147062731,0.0004089153382914859
2010-03,-0.001993701189428654,0.0252096339009915,0.011607966355781422
2010-04,0.0067834142399625375,-0.0223093760560067,-0.007762980908022082
2010-05,0.003732279048463516,-0.0074129379766412,-0.001840329464088842
2010-06,0.003911922524561406,-0.0006572145916408,0.0016273539664603033
2010-07,-0.004869406830019574,0.0013854417484719,-0.0017419825407738367
2010-08,0.004195210094348312,0.0064012949746155,0.0052982525344819065
2010-09,0.004994978563186425,0.0088229003279623,0.006908939445574362
2010-10,0.0049423712934499875,0.0046620802676727,0.004802225780561343
2010-11,-0.00028514498411413847,0.0126087432345839,0.0061617991252348805
2010-12,0.003634234357102306,0.0227745526113219,0.013204393484212103
2011-01,-0.0012379351090484603,-0.0073694395980498,-0.00430368735354913
2011-02,0.016222683925090742,0.0306053812187387,0.02341403257191472
2011-03,0.005118130205479687,0.0397600513312433,0.022439090768361494
2011-04,0.008215654537838013,0.0113604630477308,0.009788058792784406
2011-05,0.0014031865483685735,-0.0382493815090142,-0.018423097480322812
2011-06,-0.001245904252053509,-0.0019047074345573,-0.0015753058433054046
2011-07,0.007678746489544919,-0.0026666327124666,0.0025060568885391593
2011-08,0.01766215084181244,0.0,0.00883107542090622
