date,n_data,n_fired_base,book_r_base,book_r_cells,n_fired_cells,eq_base,eq_cells
1990-01-01,4,0,0.0,0.0,0,1.0,1.0
1990-02-01,4,0,0.0,0.0,0,1.0,1.0
1990-03-01,4,1,-0.011450381679389304,-0.011450381679389304,1,0.9885496183206107,0.9885496183206107
1990-04-01,4,0,0.0,0.0,0,0.9885496183206107,0.9885496183206107
1990-05-01,4,0,0.0,0.0,0,0.9885496183206107,0.9885496183206107
1990-06-01,4,0,0.0,0.0,0,0.9885496183206107,0.9885496183206107
1990-07-01,4,0,0.0,0.0,0,0.9885496183206107,0.9885496183206107
1990-08-01,4,0,0.0,0.0,0,0.9885496183206107,0.9885496183206107
1990-09-01,4,1,0.004510309278350527,0.004510309278350527,1,0.993008282836232,0.993008282836232
1990-10-01,4,1,-0.0013123359580052285,-0.0013123359580052285,1,0.991705122360069,0.991705122360069
1990-11-01,4,1,0.0019582245430809497,0.0019582245430809497,1,0.9936471036701736,0.9936471036701736
1990-12-01,4,1,-0.001973684210526294,-0.001973684210526294,1,0.9916859580708247,0.9916859580708247
1991-01-01,4,1,0.013707571801566593,0.013707571801566593,1,1.005279564545686,1.005279564545686
1991-02-01,4,1,-0.0006906077348066142,-0.0006906077348066142,1,1.0045853107027678,1.0045853107027678
1991-03-01,4,0,0.0,0.0,0,1.0045853107027678,1.0045853107027678
1991-04-01,4,1,-0.0006983240223463749,-0.0006983240223463749,1,1.0038837846478077,1.0038837846478077
1991-05-01,4,0,0.0,0.0,0,1.0038837846478077,1.0038837846478077
1991-06-01,4,0,0.0,0.0,0,1.0038837846478077,1.0038837846478077
1991-07-01,4,0,0.0,0.0,0,1.0038837846478077,1.0038837846478077
1991-08-01,4,0,0.0,-0.00491573033707865,1,1.0038837846478077,0.9989489626727132
1991-09-01,4,0,0.0,-0.0064469914040114484,1,1.0038837846478077,0.992508747297316
1991-10-01,4,0,0.0,0.0,0,1.0038837846478077,0.992508747297316
1991-11-01,4,0,0.0,0.0,0,1.0038837846478077,0.992508747297316
1991-12-01,4,0,0.0,0.0,0,1.0038837846478077,0.992508747297316
1992-01-01,4,1,0.0014124293785310604,0.0014124293785310604,1,1.0053016995978752,0.9939105958104478
1992-02-01,4,0,0.0,0.0,0,1.0053016995978752,0.9939105958104478
1992-03-01,4,1,0.020288671023965144,0.020288671023965144,1,1.0256979350608495,1.0140757209160791
1992-04-01,4,1,0.012972292191435753,0.013711937161849957,2,1.0390035883746112,1.0279806634786381
1992-05-01,4,0,0.0,0.0,0,1.0390035883746112,1.0279806634786381
1992-06-01,4,1,0.004151664339775152,0.004151664339775152,1,1.0433171825213645,1.032248494141181
1992-07-01,4,1,0.0017347307553307045,0.0017347307553307045,1,1.0451270569254494,1.0340391673511116
1992-08-01,4,1,0.0003290024645275502,0.0003290024645275502,1,1.0454709063029222,1.034379368785588
1992-09-01,4,2,-0.0028478150047515083,-0.0028478150047515083,2,1.0424935985689217,1.031433647698555
1992-10-01,4,1,0.006266666666666643,0.006266666666666643,1,1.049026558453287,1.037897298557466
1992-11-01,4,2,0.022132149770492965,0.022132149770492965,2,1.0722437713581998,1.0608681970155298
1992-12-01,4,3,-0.01075182961589316,-0.01075182961589316,3,1.0607151890218538,1.0494619229162991
1993-01-01,4,3,-0.013230500108609489,-0.013230500108609489,3,1.0466813965982964,1.0355770168311735
1993-02-01,4,2,0.005548196282255724,0.005548196282255724,2,1.0524885904316092,1.0413226013859456
1993-03-01,4,2,-0.013022844402798217,-0.013022844402798217,2,1.0387821952826979,1.0277616191749794
1993-04-01,4,2,0.019499237659615032,0.019499237659615032,2,1.0590376561850918,1.0478021872447032
1993-05-01,4,1,0.0015777653003930525,0.0015777653003930525,1,1.0607085690508302,1.0494553731774139
1993-06-01,4,2,0.021352548257548565,0.021352548257548565,2,1.0833573999586832,1.0718639196773283
1993-07-01,4,1,0.0038230230946365573,0.0038230230946365573,1,1.0874991003184706,1.0759616801965624
1993-08-01,4,1,0.00281307114702839,0.00281307114702839,1,1.0905583126599958,1.0789884369544316
1993-09-01,4,1,0.002536799930319633,0.002536799930319633,1,1.0933248409115612,1.0817256147461132
1993-10-01,4,1,-0.0005442983401595103,-0.0005442983401595103,1,1.0927297460153977,1.0811368332894988
1993-11-01,4,1,0.0016526604592883576,0.0016526604592883576,1,1.0945356572593257,1.0829235853849566
1993-12-01,4,2,0.018825773005770624,0.018825773005770624,2,1.1151411370896116,1.103310458986009
