Date,Ttag,dir,ret1,pnl,hit3,cum
2016-03-01,T14,UP,0.026504117312495357,0.026504117312495357,1.0,1.0265041173124954
2016-04-01,T14,UP,-0.004813205238154761,-0.004813205238154761,1.0,1.0215633423180595
2016-05-01,T14,UP,0.00887899106775425,0.00887899106775425,1.0,1.0306337941096466
2016-06-01,T14,UP,0.03119646430473777,0.03119646430473777,1.0,1.0627859244788447
2016-07-01,T26,UP,0.010261063800083736,0.010261063800083736,0.0,1.073691238655753
2016-08-01,T26,UP,-0.006107925101913825,-0.006107925101913825,0.0,1.0671332129874627
2016-09-01,T14,UP,-0.006798937752874656,-0.006798937752874656,1.0,1.0598778406983358
2016-10-01,T14,UP,0.010251887523214709,0.010251887523214709,1.0,1.0707435891095227
2016-11-01,T14,UP,0.037709181104762735,0.037709181104762735,1.0,1.1111204530280174
2017-01-01,T14,UP,0.02408224621118893,0.02408224621118893,1.0,1.1378787293481258
2017-02-01,T14,UP,0.015841813632286428,0.015841813632286428,1.0,1.1559047921146017
2017-03-01,T26,UP,-0.003173033859778185,-0.003173033859778185,1.0,1.1522370670705422
2017-04-01,T26,UP,0.01527565262725128,0.01527565262725128,1.0,1.1698382402513545
2017-05-01,T26,UP,0.016131254305216336,0.016131254305216336,1.0,1.1887091984008158
2017-06-01,T14,UP,0.00826215391188967,0.00826215391188967,1.0,1.1985304967544823
2017-07-01,T14,UP,0.0008638604783830495,0.0008638604783830495,1.0,1.1995658598827652
2017-08-01,T14,UP,0.014909087948148159,0.014909087948148159,1.0,1.2174502927873534
2017-09-01,T14,UP,0.025737712809486224,0.025737712809486224,1.0,1.2487846787829393
2017-10-01,T14,UP,0.014317559640203426,0.014317559640203426,1.0,1.2666642278991864
2017-11-01,T14,UP,0.027270869560188205,0.027270869560188205,1.0,1.3012072628347817
2017-12-01,T26,UP,0.04708858479022959,0.04708858479022959,1.0,1.36247927136044
2018-01-01,T26,UP,-0.030339092408057988,-0.030339092408057988,0.0,1.321142886842572
2018-03-01,T14,UP,-0.01818134728445253,-0.01818134728445253,1.0,1.297122729204503
2018-04-01,T14,UP,0.018035671890956895,0.018035671890956895,1.0,1.320517209150738
2018-05-01,T14,UP,0.019566979703793175,0.019566979703793175,1.0,1.3463557425807
2018-06-01,T14,UP,0.014264708551926963,0.014264708551926963,1.0,1.3655611148558269
2018-07-01,T14,UP,0.022973611488953605,0.022973611488953605,0.0,1.396932985372947
2018-08-01,T14,UP,0.015284377602508226,0.015284377602508226,0.0,1.4182842366067863
2018-09-01,T14,UP,-0.03999310701361358,-0.03999310701361358,0.0,1.3615626433564498
2018-10-01,T14,UP,-0.02234101369253194,-0.02234101369253194,0.0,1.3311439536979834
2018-11-01,T14,UP,-0.05725553845984366,-0.05725553845984366,1.0,1.2549285898614402
2019-02-01,T5,UP,0.017830307166244452,0.017830307166244452,1.0,1.2773043520903717
2019-03-01,T5,UP,0.03559939799855916,0.03559939799855916,1.0,1.3227756180857286
2019-04-01,T14,UP,-0.01690543425855784,-0.01690543425855784,1.0,1.3004135218353572
2019-05-01,T14,UP,0.012421576972792447,0.012421576972792447,1.0,1.3165667084932953
2019-08-01,T14,UP,0.029217556899920227,0.029217556899920227,1.0,1.355033571211239
2019-09-01,T14,UP,-0.001500927516870365,-0.001500927516870365,1.0,1.3529997640379248
2019-10-01,T14,UP,0.042726048467263134,0.042726048467263134,1.0,1.4108080975324047
2020-11-01,T26,UP,0.0412278977766225,0.0412278977766225,1.0,1.4689727495599019
2020-12-01,T26,UP,0.02663874505792463,0.02663874505792463,1.0,1.5081043401324667
2021-01-01,T26,UP,0.023639860646415878,0.023639860646415878,1.0,1.5437557165734532
2021-02-01,T26,UP,0.0069722233498401565,0.0069722233498401565,1.0,1.554519126226996
2021-03-01,T27,UP,0.05898668756194203,0.05898668756194203,1.0,1.646215060234811
2021-04-01,T27,UP,0.006440998589823277,0.006440998589823277,1.0,1.6568183291163292
2021-05-01,T27,UP,0.0169487993748334,0.0169487993748334,1.0,1.6848994105770685
2021-06-01,T27,UP,0.029544324852168513,0.029544324852168513,1.0,1.7346786261063847
2021-07-01,T27,UP,0.020737731827344064,0.020737731827344064,1.0,1.7706519262612046
2021-08-01,T27,UP,-0.001944910112386511,-0.001944910112386511,1.0,1.7672081674243025
2021-09-01,T27,UP,0.0034110138770746534,0.0034110138770746534,1.0,1.7732361390070666
2021-10-01,T15,UP,0.046333354191236964,0.046333354191236964,1.0,1.8553961171003825
2021-12-01,T15,UP,-0.021596178658462528,-0.021596178658462528,0.0,1.815326651073265
2022-01-01,T14,UP,-0.030135665507277087,-0.030135665507277087,0.0,1.7606205743300756
2022-02-01,T5,UP,-0.010080140960474604,-0.010080140960474604,0.0,1.7428732707629166
2022-12-01,T14,UP,0.012339173662350378,0.012339173662350378,1.0,1.764378886722329
2023-01-01,T14,UP,0.03005265339218388,0.03005265339218388,1.0,1.8174031538574824
2023-02-01,T5,UP,-0.027238773131699423,-0.027238773131699423,1.0,1.7678993216607235
2023-03-01,T14,UP,0.03852991299640762,0.03852991299640762,1.0,1.8360163287107192
2023-05-01,T14,UP,0.04804422445854306,0.04804422445854306,1.0,1.9242263093168472
2023-07-01,T26,UP,-0.01125021175887575,-0.01125021175887575,0.0,1.9025783558650327
2023-08-01,T14,UP,-0.010827868989612965,-0.010827868989612965,1.0,1.8819774866852528
2023-10-01,T14,UP,0.044657887151820175,0.044657887151820175,1.0,1.966022624907909
2023-11-01,T14,UP,0.05044506102308288,0.05044506102308288,1.0,2.06519875619415
2023-12-01,T14,UP,0.027867871463099325,0.027867871463099325,1.0,2.122751449677521
2024-01-01,T14,UP,0.04077311648052806,0.04077311648052806,1.0,2.2093026417944324
2024-02-01,T26,UP,0.03164649209695636,0.03164649209695636,1.0,2.2792193203877646
2024-03-01,T26,UP,-0.01123275478682495,-0.01123275478682495,1.0,2.253617408656455
2024-04-01,T26,UP,0.024006435716148022,0.024006435716148022,1.0,2.3077187301061586
2024-05-01,T26,UP,0.034366250803615106,0.034366250803615106,1.0,2.387026370769187
2024-06-01,T26,UP,0.022688980721753405,0.022688980721753405,1.0,2.4411855660778863
2024-07-01,T26,UP,-0.010796307499238433,-0.010796307499238433,1.0,2.414829776043807
2024-08-01,T14,UP,0.026111784017396555,0.026111784017396555,1.0,2.4778852895946413
2024-09-01,T14,UP,0.030430730794276384,0.030430730794276384,1.0,2.5532891497813934
2024-10-01,T26,UP,0.023754979927458564,0.023754979927458564,1.0,2.613942482283448
2024-11-01,T26,UP,0.013658299881482261,0.013658299881482261,1.0,2.6496444925794216
2024-12-01,T26,UP,-0.005222683164980646,-0.005222683164980646,0.0,2.6358062388948436
2025-01-01,T14,UP,0.009896203128831882,0.009896203128831882,0.0,2.6618907128431895
2025-03-01,T14,UP,-0.05532873700986285,-0.05532873700986285,1.0,2.514611661643292
2025-05-01,T5,UP,0.037693169746262134,0.037693169746262134,1.0,2.609395345851543
2025-06-01,T14,UP,0.044203785386996985,0.044203785386996985,1.0,2.7247404977093934
2025-07-01,T14,UP,0.017859346377875118,0.017859346377875118,1.0,2.7734025820478094
2025-08-01,T14,UP,0.02731626615944016,0.02731626615944016,1.0,2.849161585146306
2025-09-01,T26,UP,0.023036638388825637,0.023036638388825637,1.0,2.9147966902946547
2025-10-01,T26,UP,0.0007711234719851578,0.0007711234719851578,1.0,2.9170443584386057
2025-11-01,T26,UP,0.01663574632624587,0.01663574632624587,1.0,2.965571568407997
2025-12-01,T26,UP,0.011104080307257513,0.011104080307257513,0.0,2.998501513260519
2026-02-01,T14,UP,-0.03472497108664063,-0.03472497108664063,,2.8943786349092995
