date,n_fired_base,book_r_base,pp,book_r_base_ppfb
1990-01-01,0,0.0,-0.01504209066230079,-0.01504209066230079
1990-02-01,0,0.0,-0.0006347905871340927,-0.0006347905871340927
1990-03-01,1,-0.0114503816793893,-0.006078510421622926,-0.0114503816793893
1990-04-01,0,0.0,-0.012105117467961024,-0.012105117467961024
1990-05-01,0,0.0,0.010385263025607657,0.010385263025607657
1990-06-01,0,0.0,0.00352820286481931,0.00352820286481931
1990-07-01,0,0.0,0.010515043267520768,0.010515043267520768
1990-08-01,0,0.0,-0.003768563523635104,-0.003768563523635104
1990-09-01,1,0.0045103092783505,-0.01147711702147297,0.0045103092783505
1990-10-01,1,-0.0013123359580052,-0.004174871871483303,-0.0013123359580052
1990-11-01,1,0.0019582245430809,0.017937830878557486,0.0019582245430809
1990-12-01,1,-0.0019736842105262,0.018120739466243794,-0.0019736842105262
1991-01-01,1,0.0137075718015665,0.004088965045694082,0.0137075718015665
1991-02-01,1,-0.0006906077348066,0.02227196328399669,-0.0006906077348066
1991-03-01,0,0.0,0.005370114051632451,0.005370114051632451
1991-04-01,1,-0.0006983240223463,0.005832101716812581,-0.0006983240223463
1991-05-01,0,0.0,0.00047431346185083283,0.00047431346185083283
1991-06-01,0,0.0,0.005255105622634779,0.005255105622634779
1991-07-01,0,0.0,0.005783622057996978,0.005783622057996978
1991-08-01,0,0.0,0.008102071543653751,0.008102071543653751
1991-09-01,0,0.0,0.0014010069510569563,0.0014010069510569563
1991-10-01,0,0.0,0.01129454650043019,0.01129454650043019
1991-11-01,0,0.0,0.005524217316818502,0.005524217316818502
1991-12-01,0,0.0,0.011372253316749565,0.011372253316749565
1992-01-01,1,0.001412429378531,0.01639737732852405,0.001412429378531
1992-02-01,0,0.0,-0.007352407267398578,-0.007352407267398578
1992-03-01,1,0.0202886710239651,-0.01043287499779645,0.0202886710239651
1992-04-01,1,0.0129722921914357,-0.0007943630607671548,0.0129722921914357
1992-05-01,0,0.0,0.007936651890651219,0.007936651890651219
1992-06-01,1,0.0041516643397751,0.0031797890137324025,0.0041516643397751
1992-07-01,1,0.0017347307553307,0.024212571202520267,0.0017347307553307
1992-08-01,1,0.0003290024645275,0.0010047791500426974,0.0003290024645275
1992-09-01,2,-0.0028478150047515,0.00793031825400124,-0.0028478150047515
1992-10-01,1,0.0062666666666666,-0.005678340367070321,0.0062666666666666
1992-11-01,2,0.0221321497704929,-0.003072286821705466,0.0221321497704929
1992-12-01,3,-0.0107518296158931,0.01009852913519021,-0.0107518296158931
1993-01-01,3,-0.0132305001086094,0.0014263656806303262,-0.0132305001086094
1993-02-01,2,0.0055481962822557,0.012451842464520637,0.0055481962822557
1993-03-01,2,-0.0130228444027982,0.013033612948922378,-0.0130228444027982
1993-04-01,2,0.019499237659615,0.007219390445686651,0.019499237659615
1993-05-01,1,0.001577765300393,0.01998257099294836,0.001577765300393
1993-06-01,2,0.0213525482575485,0.007096362030638287,0.0213525482575485
1993-07-01,1,0.0038230230946365,0.01995882724693404,0.0038230230946365
1993-08-01,1,0.0028130711470283,-3.211367381128645e-05,0.0028130711470283
1993-09-01,1,0.0025367999303196,-0.005473880607357583,0.0025367999303196
1993-10-01,1,-0.0005442983401595,0.009095485376329024,-0.0005442983401595
1993-11-01,1,0.0016526604592883,0.0024793050762763474,0.0016526604592883
1993-12-01,2,0.0188257730057706,0.008487453240037048,0.0188257730057706
1994-01-01,1,-0.0007452588849658,0.006663304164143862,-0.0007452588849658
1994-02-01,1,-0.0041191314305101,-0.005177550551632539,-0.0041191314305101
1994-03-01,1,-0.0089368491408119,-0.01030479416016899,-0.0089368491408119
1994-04-01,1,0.0020515171164725,-0.021751432474145297,0.0020515171164725
1994-05-01,1,0.0021789753825682,0.0015125543505150364,0.0021789753825682
1994-06-01,1,-0.0018853197898115,0.01077318834553121,-0.0018853197898115
1994-07-01,0,0.0,-0.003476986456478244,-0.003476986456478244
1994-08-01,1,0.0014647596070997,0.007504039656806063,0.0014647596070997
1994-09-01,1,-0.0016864399520301,0.008814869256222527,-0.0016864399520301
1994-10-01,1,-0.0015092386968801,-0.007220344351353327,-0.0015092386968801
1994-11-01,1,-0.003156113750244,-0.00635395023534171,-0.003156113750244
1994-12-01,1,0.0055251653155825,-0.0006403669969972622,0.0055251653155825
1995-01-01,1,0.00895754970446,0.007582292508564943,0.00895754970446
1995-02-01,1,0.0058256557104913,0.017285757376417674,0.0058256557104913
1995-03-01,1,0.0074825103923755,0.017950268884673524,0.0074825103923755
1995-04-01,0,0.0,0.01823569250725812,0.01823569250725812
1995-05-01,1,0.0074168114392623,0.015862592066315614,0.0074168114392623
1995-06-01,2,0.0089969766012735,0.02044756489349381,0.0089969766012735
1995-07-01,2,0.0033644303750462,0.008035400140792475,0.0033644303750462
1995-08-01,2,0.0087907567383878,-0.0034556116146177984,0.0087907567383878
