asset,ratio,proposed,N,design,sweep_flat,pulled_types,n_pulled,pull_cov_months,pull_cov_pct,pull_blended_acc,overall_type_wf,board_ACT,board_CASCADE,board_GATEFAIL,board_FLOOR,cascade_OOS_B,cascade_n,cascade_LB_B,mirror_acted_n,mirror_OOS,mirror_IS,mirror_verdict
Gold,Dollar_Index/M2_Money,False,6,pre-1990,FLAT (no-signal),T1;T2;T25,3,85,19.5,71.8,49.2,85,188,62,104,51.9,187,44.7,272,58.1,70.5,EDGE — OOS beats mirror AND drift [CAVEAT: pull-set membership selected in-sample (full-sample WF>67.5%); per-month routing is walk-forward but acted-months edge is an UPPER BOUND]
Silver,Industrial_Production/GS10_Rate,True,9,first 40% (<2011-01-01),FLAT (no-signal),T9;T17;T19,3,61,25.5,70.5,56.5,61,33,69,150,50.0,32,33.6,93,63.4,69.5,EDGE — OOS beats mirror AND drift [CAVEAT: pull-set membership selected in-sample (full-sample WF>67.5%); per-month routing is walk-forward but acted-months edge is an UPPER BOUND]
WTI,US_2Y_Treasury/Fed_Funds_Rate,True,3,pre-1990,peaked,T25;T26,2,64,15.3,73.4,54.9,64,111,64,200,56.8,111,47.5,175,62.9,73.0,drift-capture only (OOS<=drift) [CAVEAT: pull-set membership selected in-sample (full-sample WF>67.5%); per-month routing is walk-forward but acted-months edge is an UPPER BOUND]
USD,Gold_Close/US_CPI,True,6,pre-1990,FLAT (no-signal),none,0,0,0.0,,47.5,0,126,244,69,52.8,125,44.1,125,52.8,70.0,drift-capture only (OOS<=drift)
